"location","country_code_n_missing","Date_n_missing","infections_mean_n_missing","infections_lower_n_missing","infections_upper_n_missing","cases_mean_7d_n_missing","case_ascert_n_missing","country_code_n_zeros","Date_n_zeros","infections_mean_n_zeros","infections_lower_n_zeros","infections_upper_n_zeros","cases_mean_7d_n_zeros","case_ascert_n_zeros"
"Vatican",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,1131,NA
"Venezuela",0,0,148,148,148,0,160,0,0,NA,NA,NA,70,NA
"Vietnam",0,0,148,148,148,0,148,0,0,NA,NA,NA,38,NA
"Wallis and Futuna",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,1044,NA
"World",0,0,148,148,148,0,148,0,0,NA,NA,NA,0,NA
"World excl. China",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"World excl. China and South Korea",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"World excl. China, South Korea, Japan and Singapore",0,0,1191,1191,1191,0,1191,0,0,NA,NA,NA,0,NA
"Yemen",0,0,186,186,186,0,186,0,0,NA,NA,NA,343,NA
"Zambia",0,0,148,148,148,0,164,0,0,NA,NA,NA,124,NA
"Zimbabwe",0,0,155,155,155,0,173,0,0,NA,NA,NA,78,NA
